",Invoice,5/28/2020,INV19220,Promethean DLP Remote Remote control for DLP Projectors,1.00,$40.00 ,$40.00 ,NV,Hidden Valley Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/27/2020,INV19076,Installation on clear wall,1.00,$335.00 ,$335.00 ,NV,Incline Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/8/2020,INV19234,Installation on Clear wall. Does not include any hardware for reinstallation of unit taken down by others,2.00,$335.00 ,$670.00 ,NV,Incline Elemen	tary S	chool																																																														",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/10/2020,INV19055,""Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""""/78""""/87""""/88""""/95"""" A	ctivBo	ards & Ac	tivW	all	88	""""""""""""""","1.""	""00","	""$""	""1","279.00""	""""""","	""$""	""1","2""	79	0	""0 """"""	""","N""	""V","Incl""	in	e Elem	en	tary Schoo	l																																										",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19142,""Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""""/78""""/87""""/88""""/95"""" A	ctivBo	ards & Ac	tivW	all	88	""""""""""""""","1.""	""00","	""$""	""1","279.00""	""""""","	""$""	""1","2""	79	0	""0 """"""	""","N""	""V","Incl""	in	e Elem	en	tary Schoo	l																																										",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/10/2020,INV19055,""Promethean ActivBoard 10Touch Range 78"""" Dry Erase electronic interactive whiteboard."",1.00,""$1,000.00 "",""$1,000.00 "",NV,Incline Elementary Scho	ol																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19142,""Promethean ActivBoard 10Touch Range 78"""" Dry Erase electronic interactive whiteboard."",1.00,""$1,000.00 "",""$1,000.00 "",NV,Incline Elementary Scho	ol																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/8/2020,INV19234,Reduced cost per unit to 150.00 Washoe County SD lead/Asb procedures,2.00,$150.00 ,$300.00 ,NV,Incline Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/27/2020,INV19076,Washoe County SD Lead procedures,1.00,$150.00 ,$150.00 ,NV,Incline Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,11/16/2020,INV19566,ActivConnect OPS - AP PC for Android.,1.00,$189.00 ,$189.00 ,NV,Incline High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,11/16/2020,INV19566,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",1.00,""$3,525.	""00 """"","""	$3","525.00 ""	""""""","N""	""V","I""	ncl	ine Hi	gh	Sc	hool																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/7/2020,INV19594,Assembly of stand and ActivPanel,1.00,$335.00 ,$335.00 ,NV,Incline High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,11/16/2020,INV19566,Promethean Fixed height mobile stand for use with ActivPanel,1.00,$499.00 ,$499.00 ,NV,Incline High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/23/2020,INV19258,""ActivPanel Nickel 65"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",8.00,""$2,099.0	""0 """"","$""	""16","792.00""	""""""","N""	""V","J""	our	ney Ed	uca	ti	on																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,8/25/2020,INV19372,Promethean Professional Development - Virtual Training,1.00,$0.00 ,$0.00 ,NV,Journey Education																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,8/12/2020,INV19346,Training was changed to virtual and price reduced to 500.00  Promethean Academy - 1-Day Prof Development On-Site Training,1.00,$500.00 ,$500.00 ,	""NV","Jou""	rney Educ	atio	n																																																												",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/16/2020,INV19108,ActivConnect OPS - AP PC for Android.,5.00,$189.00 ,$945.00 ,NV,Lois Allen Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/16/2020,INV19108,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",5.00,$503.00 ,""$2,	515	""""""",NV,"Loi""	s Al	len	El	ementa	ry	Sc	hool																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/16/2020,INV19108,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",5.00,""$3,525.0	""0 """"","$""	""17","625.00""	""""""","N""	""V","L""	ois	Allen	El	em	entary S	cho	ol																																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/9/2020,INV19155,Assembly of stand with ActivPanel,5.00,$335.00 ,""$1,675.00 "",NV,Lois Allen Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/5/2020,INV19030,Vivitek DW884ST Projector,8.00,$685.10 ,""$5,480.80 "",NV,Lou Mendive Middle School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/2/2020,INV19388,ActivConnect OPS - AP PC for Android.,9.00,$189.00 ,""$1,701.00 "",NV,Mariposa Acad-Language & Lrng																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/2/2020,INV19388,""ActivPanel Nickel 65"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",9.00,""$1,860.00	""""""","$1""	""6","740.00""	""""""","NV""	""","Ma""	rip	osa Ac	ad-	La	nguage &	Lr	ng																																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/2/2020,INV19388,Installation of ActivPanel on clear wall in classroom,9.00,$385.00 ,""$3,465.00 "",NV,Mariposa Acad-Language & Lrng																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/30/2020,INV19468,ActivConnect OPS - AP PC for Android.  **WCSD Bulk Pricing 100+ units** DIGITALEDGE CONTRACT #ESD112-DE-16A  .,33.00,$189.00 ,""$6,237.00 "",NV,Mik	e Insk	eep Eleme	ntar	y																																																												",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/30/2020,INV19468,""ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",33.00,""$4,06	""5.00 """"""	""",$134 ,"14""	5	""""""","	NV","	Mike I	nsk	ee	p Elemen	tar	y																																																					
",Invoice,9/30/20,INV19468,Airtame 2 Wireless Connection,73,$347.36 ,$25 ,"357.28 """"",NV,"Mike Inskeep Elementary""																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,10/28/2020,INV19539,iRover2 mobile cart for Interactive Flat Panels for use with Promethean ActivPanel  **Includes 6 plug 25' power strip** **WCSD Bulk Pricing 100+	units	** DIGITA	LEDG	E C	ONT	RACT #	ESD	11	2-DE-16A	.	""","3""	3	""0","	""$""	""1","2""	14	"".07 """"","	""$""	""40","064""	0.3	""1 """"",NV,"Mik""	e Ins	kee	p El	emen	ta	ry																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,10/28/2020,INV19539,""Samsung 50"""" BET Series TV"",40.00,$466.95 ,""$18,678.00 "",NV,Mike Inskeep Elementary																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/30/2020,INV19468,""Tripp Lite Height-adjustable mobile TV stand hangs a flat- or curved-panel television or monitor and peripherals, such as a Blu-ray player, lapt	op and	webcam.	Fits	mo	st	flat o	r c	ur	ved pane	l d	is	pla	ys	f	rom	3	2 to 7	0	in. De	si	gned for p	ortra	it	or l	ands	ca	pe	moun	ti	ng.   **	Inc	lu	de	s 6 p	lu	g 2	5' p	ower	stri	p*	*	DIGI	TA	LE	DGE	C	ONTRACT	#ESD	11	2-D	E-16	""A""""","3""	0	""","$53""	0.8	""5 ","""	$15","	925	50 """"","N""	""V","M""	ik	e In	skee	p Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19287,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",1.00,$503.00 ,$503.	""00 ","NV""	""","Mountain""	Vie	w M	ont	essori																																																										",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19287,""ActivPanel Titanium 70"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",1.00,""$3,360.	""00 """"","""	$3","360.00 ""	""""""","N""	""V","M""	oun	tain V	iew	M	ontessor	i																																																						",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/15/2020,INV19247,ActivConnect OPS - AP PC for Android.,4.00,$189.00 ,$756.00 ,NV,Nick Poulakidas Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/15/2020,INV19247,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",4.00,""$3,525.0	""0 """"","$""	""14","100.00""	""""""","N""	""V","N""	ick	Poula	kid	as	Element	ary	S	cho	ol																																																			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/30/2020,INV19469,Add-on Installation of HDMI cables at 125.00 per 4,4.00,$125.00 ,$500.00 ,NV,Nick Poulakidas Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/15/2020,INV19247,Airtame 2 Wireless Connection,8.00,$440.00 ,""$3,520.00 "",NV,Nick Poulakidas Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/23/2020,INV19311,""Installation Of ActivPanel Nickel 75"""" on clear wall. If backer board is needed this to be done by District. Assembly of OmmiMount with Wbox 50""	"""""" TV""	This is	Non	pre	vai	ling w	age	"".""""""	""",4,"$5""	25	0	""","""	$2 	","1""	0	0	""""""",NV,"	Ni	ck Pou	la	kidas Elem	entar	y S	choo	l																																							
",Invoice,6/15/20,INV19247,OmniMount Flat Panel Mobile Cart,4,$599.00 ,$2 ,"396.00 """"",NV,"Nick Poulakidas Elementary School""																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/23/2020,INV19311,Washoe County SD Lead/ Asb procedures. per classroom,1.00,$200.00 ,$200.00 ,NV,Nick Poulakidas Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/15/2020,INV19247,""Wbox Tech 50"""" LED 4K TV. High-quality LED TV with LED backlight panel. ATSC Digital tuner. Inputs ports include VGA, HDMI (4), USB."",4.00,$380.	""00 ","$""	""1","520.00""	""""""","NV""	""","Ni""	ck	Poulak	ida	s	Elementa	ry	Sc	hoo	l																																																			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/10/2020,INV19051,Installation of 10touch Activboard with Mount upgrade on clear wall in room 2000,1.00,$335.00 ,$335.00 ,NV,North Valleys High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/10/2020,INV19051,Washoe County SD Lead procedures,1.00,$150.00 ,$150.00 ,NV,North Valleys High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/21/2020,INV19427,ActivConnect OPS - AP PC for Android.,1.00,$189.00 ,$189.00 ,NV,O'Brien Middle School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/21/2020,INV19427,""ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",1.00,""$4,065	"".00 """"","	""$4","065.0""	""0 """"","	NV","	O'B	rien M	idd	le	School																																																							
",Invoice,9/21/20,INV19427,Promethean Fixed height mobile stand for use with ActivPanel,1,$503.00 ,$503.00 ,NV,"O'Brien Middle School""																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19140,ActivConnect OPS - AP PC for Android.,3.00,$189.00 ,$567.00 ,NV,Peavine Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19140,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",3.00,""$3,525.0	""0 """"","$""	""10","575.00""	""""""","N""	""V","P""	eav	ine El	eme	nt	ary Scho	ol																																																						",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,5/4/2020,INV19189,Installation on clear wall,3.00,$335.00 ,""$1,005.00 "",NV,Peavine Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,5/4/2020,INV19189,Washoe County SD Lead procedures per room,3.00,$150.00 ,$450.00 ,NV,Peavine Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/30/2020,INV19137,ActivConnect OPS - AP PC for Android.,6.00,$189.00 ,""$1,134.00 "",NV,Robert Mitchell Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19143,ActivConnect OPS - AP PC for Android.,1.00,$189.00 ,$189.00 ,NV,Robert Mitchell Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/30/2020,INV19137,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",6.00,$503.00 ,""$3,	18	""""""",NV,"Rob""	ert	Mit	che	ll Ele	men	ta	ry Schoo	l																																																						",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19143,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",1.00,$503.00 ,$503	"".00 ","N""	""V","Robert""	Mitc	hel	l E	lement	ary	S	chool																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/30/2020,INV19137,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",6.00,""$3,525.0	""0 """"","$""	""21","150.00""	""""""","N""	""V","R""	obe	rt Mit	che	ll	Element	ary	S	cho	ol																																																			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19143,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",1.00,""$3,525.0	""0 """"","$""	""3","525.00""	""""""","NV""	""","Ro""	ber	t Mitc	hel	l	Elementa	ry	Sc	hoo	l																																																			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/9/2020,INV19152,Assembly of stand and panel,1.00,$335.00 ,$335.00 ,NV,Robert Mitchell Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/22/2020,INV19176,Assembly of stand with ActivPanel,6.00,$335.00 ,""$2,010.00 "",NV,Robert Mitchell Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,8/31/2020,INV19383,Inspect and reset ActivBoards and Projectors. 4 hours,1.00,$95.00 ,$95.00 ,NV,Silver Stage Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/4/2020,INV19096,ActivConnect OPS - AP PC for Android.,2.00,$189.00 ,$378.00 ,NV,Sky Ranch Middle School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/4/2020,INV19096,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",2.00,""$3,525.00	""""""","$7""	""","050.00 """"""	""",NV,"	Sky	Ra	nch Mi	ddl	e	School																																																							
",Invoice,8/6/20,INV19339,Airtame 2 Wireless Connection,4,$440.00 ,$1 ,"760.00 """"",NV,"Sky Ranch Middle School""																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,8/6/2020,INV19339,""Installation of ActivPanel 75"""" Nickel on clear wall. If backer board needed to be done by District. Assembly of OmminMount with 50"""" TV  This is	Non p	revailing	wag	""e.""""""	""","2.""	""00","$52""	5	0	""",$1 ,"050""	0	""""""""	""","NV""	""","S""	ky	Ra	nc	h Midd	le	Schoo	l																																												",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,8/6/2020,INV19339,Washoe County SD Lead/ Asb procedures per room,2.00,$200.00 ,$400.00 ,NV,Sky Ranch Middle School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/4/2020,INV19096,""Wbox Tech 50""""4K UHD TV - 3 HDMI, 2 USB, TOSLINK"",2.00,$466.95 ,$933.90 ,NV,Sky Ranch Middle School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/22/2020,INV19616,ActivConnect OPS - AP PC for Android.,1.00,$189.00 ,$189.00 ,NV,Sparks High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/22/2020,INV19616,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",1.00,""$3,525.	""00 """"","""	$3","525.00 ""	""""""","N""	""V","S""	par	ks Hig	h S	ch	ool																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/22/2020,INV19616,Installation,1.00,$435.00 ,$435.00 ,NV,Sparks High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/22/2020,INV19616,Washoe County SD Lead/ASB procedure,1.00,$200.00 ,$200.00 ,NV,Sparks High School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/21/2020,INV19611,Move v-1 adjustable ActivBoard with projector from one wall in classroom to another wall in same classroom.  Labor only. No cabling.,1.00,$535.0	""0 ","$53""	""5.00 ",NV,"	Spar	ks	Mid	dle Sc	hoo	l																																																								
",Invoice,12/21/20,INV19611,Washoe County SD Lead/ASB procedures,1,$200.00 ,$200.00 ,NV,"Sparks Middle School""																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/16/2020,INV19106,""Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""""/78""""/87""""/88""""/95"""" A	ctivBo	ards & Ac	tivW	all	88	""""""""""""""","2.""	""00","	""$""	""1","279.00""	""""""","	""$""	""2","5""	58	0	""0 """"""	""","N""	""V","Sutr""	o	Elemen	ta	ry School																																											",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,5/5/2020,INV19195,""Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""""/78""""/87""""/88""""/95"""" Ac	tivBoa	rds & Act	ivWa	ll	""88""""""	""""""""""","3.0""	""0","""	$1 	","279.00""	""""""","""	$3 	","83""	7	0	""""""","	NV	","Sutro""	E	lement	ar	y School																																											",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/16/2020,INV19106,""Promethean ActivBoard 10Touch Range 78"""" Dry Erase electronic interactive whiteboard."",2.00,""$1,000.00 "",""$2,000.00 "",NV,Sutro Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,5/5/2020,INV19195,""Promethean ActivBoard 10Touch Range 78"""" Dry Erase electronic interactive whiteboard."",3.00,""$1,000.00 "",""$3,000.00 "",NV,Sutro Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/20/2020,INV19163,Vivitek DW884ST Projector,2.00,$685.10 ,""$1,370.20 "",NV,Veterans Memorial Elementary School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/30/2020,INV19136,ActivConnect OPS - AP PC for Android.,4.00,$189.00 ,$756.00 ,NV,Virginia Palmer Elem School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/30/2020,INV19136,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",4.00,$503.00 ,""$2,	12	""""""",NV,"Vir""	gini	a P	alm	er Ele	m S	ch	ool																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/30/2020,INV19136,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",4.00,""$3,525.0	""0 """"","$""	""14","100.00""	""""""","N""	""V","V""	irg	inia P	alm	er	Elem Sc	hoo	l																																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/9/2020,INV19153,Assembly of Stand with ActivPanel,4.00,$335.00 ,""$1,340.00 "",NV,Virginia Palmer Elem School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,5/4/2020,INV19190,""Installation Of 10Touch 78"""" Activboard with boom/projector on Clear wall."",17.00,$335.00 ,""$5,695.00 "",NV,Virginia Palmer Elem School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/9/2020,INV19104,""Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""""/78""""/87""""/88""""/95"""" Ac	tivBoa	rds & Act	ivWa	ll	""88""""""	""""""""""","17.""	""00","	""$""	""1","279.00""	""""""","	""$""	""21","	74	3	0	""","	NV","Vir""	gi	nia Pa	lm	er Elem Sc	hool																																										",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/9/2020,INV19104,""Promethean ActivBoard 10Touch Range 78"""" Dry Erase electronic interactive whiteboard."",17.00,""$1,000.00 "",""$17,000.00 "",NV,Virginia Palmer Elem S	chool																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,5/4/2020,INV19190,Washoe County SD Lead/ASB procedures,17.00,$150.00 ,""$2,550.00 "",NV,Virginia Palmer Elem School																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,1/21/2020,INV19002,PRM-32-35 replacement lamp,10.00,$112.00 ,""$1,120.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/10/2020,INV19053,PRM-32-35 replacement lamp,12.00,$112.00 ,""$1,344.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/16/2020,INV19107,PRM-32-35 replacement lamp,10.00,$112.00 ,""$1,120.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/28/2020,INV19182,PRM-32-35 replacement lamp,8.00,$112.00 ,$896.00 ,NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/8/2020,INV19395,PRM-32-35 replacement lamp,10.00,$112.00 ,""$1,120.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,1/21/2020,INV19002,Promethean PRM-45 replacement lamp. Also for PRM-45A projector.,10.00,$112.00 ,""$1,120.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/10/2020,INV19053,Promethean PRM-45 replacement lamp. Also for PRM-45A projector.,5.00,$112.00 ,$560.00 ,NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/16/2020,INV19107,Promethean PRM-45 replacement lamp. Also for PRM-45A projector.,10.00,$112.00 ,""$1,120.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/28/2020,INV19182,Promethean PRM-45 replacement lamp. Also for PRM-45A projector.,12.00,$112.00 ,""$1,344.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/8/2020,INV19395,Promethean PRM-45 replacement lamp. Also for PRM-45A projector.,10.00,$112.00 ,""$1,120.00 "",NV,Washoe County School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/17/2020,INV19064,ActivConnect OPS - AP PC for Android.,3.00,$189.00 ,$567.00 ,NV,Washoe County Schools																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/17/2020,INV19064,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",3.00,$503.00 ,""$1,	509	""""""",NV,"Was""	hoe	Cou	nty	Schoo	ls																																																									",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/17/2020,INV19064,""ActivPanel Nickel 75"""" - 1 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",3.00,""$3,525.0	""0 """"","$""	""10","575.00""	""""""","N""	""V","W""	ash	oe Cou	nty	S	chools																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/20/2020,INV19071,Assembly of stand and mounting ActivPanel,3.00,$335.00 ,""$1,005.00 "",NV,Washoe County Schools																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
